,white_locals,black_locals,winner
1286,1,4,white
1287,2,5,white
1288,1,3,white
1289,3,3,white
1290,3,1,black
1291,5,1,black
1292,3,4,white
1293,2,3,white
1294,5,1,black
1295,3,4,
1296,4,3,black
1297,5,3,black
1298,3,5,white
1299,5,3,
1300,4,3,
1301,3,3,white
1302,5,3,black
1303,4,4,
1304,2,5,white
1305,5,3,black
1306,2,6,white
1307,1,3,white
1308,5,3,black
1309,5,3,black
1310,5,4,black
1311,3,5,white
1312,4,4,
1313,4,1,black
1314,4,5,
1315,4,3,black
1316,4,3,black
1317,5,2,black
1318,3,0,black
1319,4,0,black
1320,1,5,white
1321,4,3,white
1322,2,3,white
1323,5,4,black
1324,4,4,
1325,5,3,black
1326,4,3,black
1327,4,5,black
1328,4,1,black
1329,4,4,
1330,5,1,black
1331,3,4,white
1332,1,4,white
1333,5,3,black
1334,4,2,black
1335,4,2,black
1336,4,2,black
1337,3,3,black
1338,5,3,black
1339,4,4,white
1340,4,4,
1341,3,2,black
1342,5,3,white
1343,4,4,
1344,3,5,white
1345,4,2,black
1346,4,3,black
1347,3,5,white
1348,4,4,
1349,3,4,
1350,3,3,white
1351,4,3,black
1352,3,4,white
1353,4,2,black
1354,3,4,white
1355,2,4,white
1356,4,3,black
1357,4,5,white
1358,4,4,
1359,4,4,
1360,3,4,
1361,4,4,
1362,3,4,white
1363,2,4,white
1364,4,5,
1365,5,1,black
1366,5,2,black
1367,3,1,black
1368,4,2,black
1369,3,4,white
1370,4,5,white
1371,3,2,black
1372,4,4,
1373,4,4,
1374,2,3,white
1375,2,4,white
1376,4,5,white
1377,5,3,black
1378,3,4,white
1379,3,2,black
1380,3,4,
1381,3,4,white
1382,5,4,black
1383,5,2,black
1384,5,4,
1385,2,5,white
1386,2,4,white
1387,3,4,black
1388,3,6,black
1389,3,4,white
1390,1,5,white
1391,1,4,white
1392,4,4,
1393,5,4,
1394,3,3,black
1395,2,4,white
1396,3,3,black
1397,4,5,
1398,2,4,white
1399,3,1,black
1400,3,4,
1401,4,3,
1402,5,4,black
1403,5,2,black
1404,4,2,black
1405,5,3,
1406,3,6,white
1407,2,5,white
1408,4,3,black
1409,4,3,black
1410,1,4,white
1411,4,4,
1412,2,4,white
1413,2,4,
1414,2,5,
1415,3,4,white
1416,1,4,white
1417,3,6,white
1418,5,2,black
1419,5,3,
1420,3,4,black
1421,4,4,black
1422,3,4,white
1423,4,4,white
1424,3,1,black
1425,4,3,
1426,3,3,white
1427,4,5,
1428,3,5,
1429,4,3,black
1430,3,3,black
1431,3,2,black
1432,3,4,white
1433,5,4,
1434,5,3,black
1435,4,3,
1436,2,4,white
1437,3,6,white
1438,4,4,
1439,3,5,white
1440,5,2,black
1441,3,4,white
1442,4,3,black
1443,4,5,
1444,5,2,black
1445,4,3,black
1446,4,3,
1447,3,3,white
1448,2,5,white
1449,3,3,white
1450,1,3,white
1451,3,2,black
1452,3,3,white
1453,4,3,black
1454,5,4,
1455,5,3,black
1456,4,4,
1457,5,2,black
1458,3,6,white
1459,5,2,black
1460,5,3,black
1461,5,3,black
1462,3,3,black
1463,3,2,black
1464,4,4,
1465,4,4,black
1466,5,3,black
1467,4,4,
1468,2,5,white
1469,3,4,
1470,5,3,black
1471,4,4,white
1472,4,4,black
1473,3,4,white
1474,2,4,white
1475,3,3,black
1476,4,4,
1477,3,3,white
1478,3,4,white
1479,4,5,
1480,4,2,black
1481,4,4,
1482,3,5,white
1483,4,3,
1484,1,4,white
1485,5,2,black
1486,4,1,black
1487,4,2,black
1488,2,5,white
1489,4,3,black
1490,5,2,black
1491,5,4,
1492,4,3,white
1493,5,2,black
1494,2,5,white
1495,4,4,
1496,5,2,black
1497,3,5,white
1498,4,5,black
1499,5,1,black
1500,5,4,white
1501,5,2,black
1502,2,4,white
1503,2,5,white
