,game_nr,ppo_color,winner
987,987,black (O),
988,988,white (X),
989,989,black (O),
990,990,white (X),white (X)
991,991,black (O),black (O)
992,992,white (X),white (X)
993,993,black (O),
994,994,white (X),white (X)
995,995,black (O),
996,996,white (X),white (X)
997,997,black (O),
998,998,white (X),
999,999,black (O),
